z,p,t,n,H2O,O3,N2O,CO,CH4
0.00,1.013e+03,299.7,2.450e+19,2.59e+04,2.87e-02,3.20e-01,1.50e-01,1.70e+00
1.00,9.040e+02,293.7,2.231e+19,1.95e+04,3.15e-02,3.20e-01,1.45e-01,1.70e+00
2.00,8.050e+02,287.7,2.028e+19,1.53e+04,3.34e-02,3.20e-01,1.40e-01,1.70e+00
3.00,7.150e+02,283.7,1.827e+19,8.60e+03,3.50e-02,3.20e-01,1.35e-01,1.70e+00
4.00,6.330e+02,277.0,1.656e+19,4.44e+03,3.56e-02,3.20e-01,1.31e-01,1.70e+00
5.00,5.590e+02,270.3,1.499e+19,3.35e+03,3.77e-02,3.20e-01,1.30e-01,1.70e+00
6.00,4.920e+02,263.6,1.353e+19,2.10e+03,3.99e-02,3.20e-01,1.29e-01,1.70e+00
7.00,4.320e+02,257.0,1.218e+19,1.29e+03,4.22e-02,3.20e-01,1.25e-01,1.70e+00
8.00,3.780e+02,250.3,1.095e+19,7.64e+02,4.47e-02,3.20e-01,1.19e-01,1.70e+00
9.00,3.290e+02,243.6,9.789e+18,4.10e+02,5.00e-02,3.20e-01,1.09e-01,1.69e+00
10.00,2.860e+02,237.0,8.747e+18,1.91e+02,5.59e-02,3.18e-01,9.96e-02,1.69e+00
11.00,2.470e+02,230.1,7.780e+18,7.31e+01,6.61e-02,3.14e-01,8.96e-02,1.68e+00
12.00,2.130e+02,223.6,6.904e+18,2.91e+01,7.81e-02,3.10e-01,7.81e-02,1.66e+00
13.00,1.820e+02,217.0,6.079e+18,9.90e+00,9.29e-02,3.05e-01,6.37e-02,1.65e+00
14.00,1.560e+02,210.3,5.377e+18,6.22e+00,1.05e-01,3.00e-01,5.03e-02,1.63e+00
15.00,1.320e+02,203.7,4.697e+18,4.00e+00,1.26e-01,2.94e-01,3.94e-02,1.61e+00
16.00,1.110e+02,197.0,4.084e+18,3.00e+00,1.44e-01,2.88e-01,3.07e-02,1.58e+00
17.00,9.370e+01,194.8,3.486e+18,2.90e+00,2.50e-01,2.78e-01,2.49e-02,1.55e+00
18.00,7.890e+01,198.8,2.877e+18,2.75e+00,5.00e-01,2.67e-01,1.97e-02,1.52e+00
19.00,6.660e+01,202.7,2.381e+18,2.60e+00,9.50e-01,2.53e-01,1.55e-02,1.48e+00
20.00,5.650e+01,206.7,1.981e+18,2.60e+00,1.40e+00,2.37e-01,1.33e-02,1.42e+00
