z,H2O,CO2,O3,N2O,CO,CH4,O2
0.0,7.75e+03,3.30e+02,2.66e-02,3.20e-01,1.50e-01,1.70e+00,2.09e+05
1.0,6.07e+03,3.30e+02,2.93e-02,3.20e-01,1.45e-01,1.70e+00,2.09e+05
2.0,4.63e+03,3.30e+02,3.24e-02,3.20e-01,1.40e-01,1.70e+00,2.09e+05
3.0,3.18e+03,3.30e+02,3.32e-02,3.20e-01,1.35e-01,1.70e+00,2.09e+05
4.0,2.16e+03,3.30e+02,3.39e-02,3.20e-01,1.31e-01,1.70e+00,2.09e+05
5.0,1.40e+03,3.30e+02,3.77e-02,3.20e-01,1.30e-01,1.70e+00,2.09e+05
6.0,9.25e+02,3.30e+02,4.11e-02,3.20e-01,1.29e-01,1.70e+00,2.09e+05
7.0,5.72e+02,3.30e+02,5.01e-02,3.20e-01,1.25e-01,1.70e+00,2.09e+05
8.0,3.67e+02,3.30e+02,5.97e-02,3.20e-01,1.19e-01,1.70e+00,2.09e+05
9.0,1.58e+02,3.30e+02,9.17e-02,3.20e-01,1.09e-01,1.69e+00,2.09e+05
10.0,7.00e+01,3.30e+02,1.31e-01,3.18e-01,9.96e-02,1.69e+00,2.09e+05
11.0,3.61e+01,3.30e+02,2.15e-01,3.14e-01,8.96e-02,1.68e+00,2.09e+05
12.0,1.91e+01,3.30e+02,3.10e-01,3.10e-01,7.81e-02,1.66e+00,2.09e+05
13.0,1.09e+01,3.30e+02,3.85e-01,3.05e-01,6.37e-02,1.65e+00,2.09e+05
14.0,5.93e+00,3.30e+02,5.03e-01,3.00e-01,5.03e-02,1.63e+00,2.09e+05
15.0,5.00e+00,3.30e+02,6.51e-01,2.94e-01,3.94e-02,1.61e+00,2.09e+05
16.0,3.95e+00,3.30e+02,8.70e-01,2.88e-01,3.07e-02,1.58e+00,2.09e+05
17.0,3.85e+00,3.30e+02,1.19e+00,2.78e-01,2.49e-02,1.55e+00,2.09e+05
18.0,3.83e+00,3.30e+02,1.59e+00,2.67e-01,1.97e-02,1.52e+00,2.09e+05
19.0,3.85e+00,3.30e+02,2.03e+00,2.53e-01,1.55e-02,1.48e+00,2.09e+05
20.0,3.90e+00,3.30e+02,2.58e+00,2.37e-01,1.33e-02,1.42e+00,2.09e+05
21.0,3.98e+00,3.30e+02,3.03e+00,2.19e-01,1.23e-02,1.36e+00,2.09e+05
22.0,4.07e+00,3.30e+02,3.65e+00,2.05e-01,1.23e-02,1.27e+00,2.09e+05
23.0,4.20e+00,3.30e+02,4.17e+00,1.97e-01,1.31e-02,1.19e+00,2.09e+05
24.0,4.30e+00,3.30e+02,4.63e+00,1.88e-01,1.40e-02,1.12e+00,2.09e+05
25.0,4.43e+00,3.30e+02,5.12e+00,1.76e-01,1.50e-02,1.06e+00,2.09e+05
27.5,4.58e+00,3.30e+02,5.80e+00,1.59e-01,1.60e-02,9.87e-01,2.09e+05
30.0,4.73e+00,3.30e+02,6.55e+00,1.42e-01,1.71e-02,9.14e-01,2.09e+05
32.5,4.83e+00,3.30e+02,7.37e+00,1.17e-01,1.85e-02,8.30e-01,2.09e+05
35.0,4.90e+00,3.30e+02,7.84e+00,9.28e-02,2.01e-02,7.46e-01,2.09e+05
37.5,4.95e+00,3.30e+02,7.80e+00,6.69e-02,2.22e-02,6.62e-01,2.09e+05
40.0,5.03e+00,3.30e+02,7.30e+00,4.51e-02,2.50e-02,5.64e-01,2.09e+05
42.5,5.15e+00,3.30e+02,6.20e+00,2.75e-02,2.82e-02,4.61e-01,2.09e+05
45.0,5.23e+00,3.30e+02,5.25e+00,1.59e-02,3.24e-02,3.63e-01,2.09e+05
47.5,5.25e+00,3.30e+02,4.10e+00,9.38e-03,3.72e-02,2.77e-01,2.09e+05
50.0,5.23e+00,3.30e+02,3.10e+00,4.75e-03,4.60e-02,2.10e-01,2.09e+05
55.0,5.10e+00,3.30e+02,1.80e+00,3.00e-03,6.64e-02,1.65e-01,2.09e+05
60.0,4.75e+00,3.30e+02,1.10e+00,2.07e-03,1.07e-01,1.50e-01,2.09e+05
65.0,4.20e+00,3.30e+02,7.00e-01,1.51e-03,1.86e-01,1.50e-01,2.09e+05
70.0,3.50e+00,3.30e+02,3.00e-01,1.15e-03,3.06e-01,1.50e-01,2.09e+05
75.0,2.83e+00,3.30e+02,2.50e-01,8.89e-04,6.38e-01,1.50e-01,2.09e+05
80.0,2.05e+00,3.28e+02,3.00e-01,7.06e-04,1.50e+00,1.50e-01,2.09e+05
85.0,1.33e+00,3.20e+02,5.00e-01,5.72e-04,3.24e+00,1.50e-01,2.00e+05
90.0,8.50e-01,3.10e+02,7.00e-01,4.71e-04,5.84e+00,1.40e-01,1.90e+05
95.0,5.40e-01,2.70e+02,7.00e-01,3.93e-04,1.01e+01,1.30e-01,1.80e+05
100.0,4.00e-01,1.95e+02,4.00e-01,3.32e-04,1.69e+01,1.20e-01,1.60e+05
105.0,3.40e-01,1.10e+02,2.00e-01,2.84e-04,2.47e+01,1.10e-01,1.40e+05
110.0,2.80e-01,6.00e+01,5.00e-02,2.44e-04,3.36e+01,9.50e-02,1.20e+05
115.0,2.40e-01,4.00e+01,5.00e-03,2.12e-04,4.15e+01,6.00e-02,9.40e+04
120.0,2.00e-01,3.50e+01,5.00e-04,1.85e-04,5.00e+01,3.00e-02,7.25e+04
