z,p,t,n,H2O,O3,N2O,CO,CH4
0.00,1.010e+03,287.2,2.549e+19,1.19e+04,2.41e-02,3.10e-01,1.50e-01,1.70e+00
1.00,8.960e+02,281.7,2.395e+19,8.70e+03,2.94e-02,3.10e-01,1.45e-01,1.70e+00
2.00,7.929e+02,276.3,2.080e+19,6.75e+03,3.38e-02,3.10e-01,1.40e-01,1.70e+00
3.00,7.000e+02,270.9,1.873e+19,4.82e+03,3.89e-02,3.10e-01,1.35e-01,1.70e+00
4.00,6.160e+02,265.5,1.682e+19,3.38e+03,4.48e-02,3.08e-01,1.31e-01,1.70e+00
5.00,5.410e+02,260.1,1.508e+19,2.22e+03,5.33e-02,3.02e-01,1.30e-01,1.69e+00
6.00,4.740e+02,253.1,1.357e+19,1.33e+03,6.56e-02,2.91e-01,1.29e-01,1.67e+00
7.00,4.130e+02,246.1,1.216e+19,7.97e+02,7.74e-02,2.82e-01,1.25e-01,1.65e+00
8.00,3.590e+02,239.2,1.088e+19,4.00e+02,9.11e-02,2.76e-01,1.19e-01,1.63e+00
9.00,3.108e+02,232.2,9.701e+18,1.30e+02,1.42e-01,2.70e-01,1.09e-01,1.62e+00
10.00,2.677e+02,225.2,8.616e+18,4.24e+01,1.89e-01,2.65e-01,9.96e-02,1.58e+00
11.00,2.300e+02,225.2,7.402e+18,1.33e+01,3.05e-01,2.60e-01,8.96e-02,1.54e+00
12.00,1.977e+02,225.2,6.363e+18,6.00e+00,4.10e-01,2.55e-01,7.81e-02,1.51e+00
13.00,1.700e+02,225.2,5.471e+18,4.45e+00,5.00e-01,2.49e-01,6.37e-02,1.47e+00
14.00,1.460e+02,225.2,4.699e+18,4.00e+00,6.00e-01,2.43e-01,5.03e-02,1.43e+00
15.00,1.260e+02,225.2,4.055e+18,4.00e+00,7.00e-01,2.36e-01,3.94e-02,1.39e+00
16.00,1.080e+02,225.2,3.476e+18,4.00e+00,8.50e-01,2.28e-01,3.07e-02,1.34e+00
17.00,9.280e+01,225.2,2.987e+18,4.05e+00,1.00e+00,2.18e-01,2.49e-02,1.29e+00
18.00,7.980e+01,225.2,2.568e+18,4.30e+00,1.30e+00,2.04e-01,1.97e-02,1.23e+00
19.00,6.860e+01,225.2,2.208e+18,4.50e+00,1.70e+00,1.82e-01,1.55e-02,1.16e+00
