z,p,t,n,H2O,O3,N2O,CO,CH4
0.00,1.018e+03,272.2,2.711e+19,4.32e+03,2.78e-02,3.20e-01,1.50e-01,1.70e+00
1.00,8.973e+02,268.7,2.420e+19,3.45e+03,2.80e-02,3.20e-01,1.45e-01,1.70e+00
2.00,7.897e+02,265.2,2.158e+19,2.79e+03,2.85e-02,3.20e-01,1.40e-01,1.70e+00
3.00,6.938e+02,261.7,1.922e+19,2.09e+03,3.20e-02,3.20e-01,1.35e-01,1.70e+00
4.00,6.081e+02,255.7,1.724e+19,1.28e+03,3.57e-02,3.20e-01,1.31e-01,1.70e+00
5.00,5.313e+02,249.7,1.542e+19,8.24e+02,4.72e-02,3.20e-01,1.30e-01,1.69e+00
6.00,4.627e+02,243.7,1.376e+19,5.10e+02,5.84e-02,3.20e-01,1.29e-01,1.67e+00
7.00,4.016e+02,237.7,1.225e+19,2.32e+02,7.89e-02,3.20e-01,1.25e-01,1.65e+00
8.00,3.473e+02,231.7,1.086e+19,1.08e+02,1.04e-01,3.20e-01,1.19e-01,1.63e+00
9.00,2.993e+02,225.7,9.612e+18,5.57e+01,1.57e-01,3.16e-01,1.09e-01,1.62e+00
10.00,2.568e+02,219.7,8.472e+18,2.96e+01,2.37e-01,3.10e-01,9.96e-02,1.58e+00
11.00,2.199e+02,219.2,7.271e+18,1.00e+01,3.62e-01,2.99e-01,8.96e-02,1.54e+00
12.00,1.882e+02,218.7,6.237e+18,6.00e+00,5.23e-01,2.94e-01,7.81e-02,1.51e+00
13.00,1.611e+02,218.2,5.351e+18,5.00e+00,7.04e-01,2.86e-01,6.37e-02,1.48e+00
14.00,1.378e+02,217.7,4.588e+18,4.80e+00,8.00e-01,2.80e-01,5.03e-02,1.45e+00
15.00,1.178e+02,217.2,3.931e+18,4.70e+00,9.00e-01,2.72e-01,3.94e-02,1.42e+00
16.00,1.007e+02,216.7,3.369e+18,4.60e+00,1.10e+00,2.61e-01,3.07e-02,1.39e+00
17.00,8.610e+01,216.2,2.886e+18,4.50e+00,1.40e+00,2.42e-01,2.49e-02,1.36e+00
18.00,7.360e+01,215.7,2.473e+18,4.50e+00,1.80e+00,2.17e-01,1.97e-02,1.32e+00
19.00,6.280e+01,215.2,2.115e+18,4.50e+00,2.30e+00,1.84e-01,1.55e-02,1.28e+00
20.00,5.370e+01,215.2,1.809e+18,4.50e+00,2.90e+00,1.62e-01,1.33e-02,1.22e+00
21.00,4.580e+01,215.2,1.543e+18,4.50e+00,3.50e+00,1.36e-01,1.23e-02,1.15e+00
22.00,3.910e+01,215.2,1.317e+18,4.53e+00,3.90e+00,1.23e-01,1.23e-02,1.07e+00
23.00,3.340e+01,215.2,1.125e+18,4.55e+00,4.30e+00,1.12e-01,1.31e-02,9.73e-01
24.00,2.860e+01,215.2,9.633e+17,4.60e+00,4.70e+00,1.05e-01,1.40e-02,8.80e-01
25.00,2.440e+01,215.2,8.218e+17,4.65e+00,5.10e+00,9.66e-02,1.50e-02,7.93e-01
27.50,1.646e+01,215.5,5.536e+17,4.70e+00,5.60e+00,8.69e-02,1.60e-02,7.13e-01
30.00,1.110e+01,217.4,3.701e+17,4.75e+00,6.10e+00,7.52e-02,1.71e-02,6.44e-01
32.50,7.560e+00,220.4,2.486e+17,4.80e+00,6.80e+00,6.13e-02,1.85e-02,5.75e-01
35.00,5.180e+00,227.9,1.647e+17,4.85e+00,7.10e+00,5.12e-02,2.00e-02,5.05e-01
37.50,3.600e+00,235.5,1.108e+17,4.90e+00,7.20e+00,3.97e-02,2.15e-02,4.48e-01
40.00,2.530e+00,243.2,7.540e+16,4.95e+00,6.90e+00,3.00e-02,2.33e-02,3.93e-01
42.50,1.800e+00,250.8,5.202e+16,5.00e+00,5.90e+00,2.08e-02,2.62e-02,3.40e-01
45.00,1.290e+00,258.5,3.617e+16,5.00e+00,4.60e+00,1.31e-02,3.06e-02,2.88e-01
47.50,9.400e-01,265.1,2.570e+16,5.00e+00,3.70e+00,8.07e-03,3.80e-02,2.39e-01
50.00,6.830e-01,265.7,1.863e+16,4.95e+00,2.75e+00,4.16e-03,6.25e-02,1.94e-01
55.00,3.620e-01,260.6,1.007e+16,4.85e+00,1.70e+00,2.63e-03,1.48e-01,1.57e-01
