z,p,t,n,H2O,O3,N2O,CO,CH4
0.00,1.013e+03,257.2,2.855e+19,1.41e+03,1.80e-02,3.20e-01,1.50e-01,1.70E+00
1.00,8.878e+02,259.1,2.484e+19,1.62e+03,2.07e-02,3.20e-01,1.45e-01,1.70e+00
2.00,7.775e+02,255.9,2.202e+19,1.43e+03,2.34e-02,3.20e-01,1.40e-01,1.70e+00
3.00,6.798e+02,252.7,1.950e+19,1.17e+03,2.77e-02,3.20e-01,1.35e-01,1.70e+00
4.00,5.932e+02,247.7,1.736e+19,7.90e+02,3.25e-02,3.20e-01,1.31e-01,1.70e+00
5.00,5.158e+02,240.9,1.552e+19,4.31e+02,3.80e-02,3.20e-01,1.30e-01,1.69e+00
6.00,4.467e+02,234.1,1.383e+19,2.37e+02,4.45e-02,3.20e-01,1.29e-01,1.67e+00
7.00,3.853e+02,227.3,1.229e+19,1.47e+02,7.25e-02,3.20e-01,1.25e-01,1.65e+00
8.00,3.308e+02,220.9,1.087e+19,3.38e+01,1.04e-01,3.20e-01,1.19e-01,1.63e+00
9.00,2.829e+02,217.2,9.440e+18,2.98e+01,2.10e-01,3.16e-01,1.09e-01,1.62e+00
10.00,2.418e+02,217.2,8.069e+18,2.00e+01,3.00e-01,3.10e-01,9.96e-02,1.58e+00
11.00,2.067e+02,217.2,6.898e+18,1.00e+01,3.50e-01,2.99e-01,8.96e-02,1.54e+00
12.00,1.766e+02,217.2,5.893e+18,6.00e+00,4.00e-01,2.94e-01,7.81e-02,1.51e+00
13.00,1.510e+02,217.2,5.039e+18,4.45e+00,6.50e-01,2.86e-01,6.37e-02,1.47e+00
14.00,1.291e+02,217.2,4.308e+18,4.50e+00,9.00e-01,2.80e-01,5.03e-02,1.43e+00
15.00,1.103e+02,217.2,3.681e+18,4.55e+00,1.20e+00,2.72e-01,3.94e-02,1.39e+00
16.00,9.431e+01,216.6,3.156e+18,4.60e+00,1.50e+00,2.61e-01,3.07e-02,1.34e+00
17.00,8.058e+01,216.0,2.704e+18,4.65e+00,1.90e+00,2.42e-01,2.49e-02,1.29e+00
18.00,6.882e+01,215.4,2.316e+18,4.70e+00,2.45e+00,2.17e-01,1.97e-02,1.23e+00
19.00,5.875e+01,214.8,1.982e+18,4.75e+00,3.10e+00,1.84e-01,1.55e-02,1.16e+00
20.00,5.014e+01,214.2,1.697e+18,4.80e+00,3.70e+00,1.62e-01,1.33e-02,1.08e+00
21.00,4.277e+01,213.6,1.451e+18,4.85e+00,4.00e+00,1.36e-01,1.23e-02,1.01e+00
22.00,3.647e+01,213.0,1.241e+18,4.90e+00,4.20e+00,1.23e-01,1.23e-02,9.56e-01
23.00,3.109e+01,212.4,1.061e+18,4.95e+00,4.50e+00,1.12e-01,1.31e-02,9.01e-01
24.00,2.649e+01,211.8,9.065e+17,5.00e+00,4.60e+00,1.04e-01,1.40e-02,8.48e-01
25.00,2.256e+01,211.2,7.742e+17,5.00e+00,4.70e+00,9.57e-02,1.52e-02,7.96e-01
27.50,1.513e+01,213.6,5.134e+17,5.00e+00,4.90e+00,8.60e-02,1.72e-02,7.45e-01
30.00,1.020e+01,216.0,3.423e+17,5.00e+00,5.40e+00,7.31e-02,2.04e-02,6.94e-01
32.50,6.910e+00,218.5,2.292e+17,5.00e+00,5.90e+00,5.71e-02,2.49e-02,6.43e-01
35.00,4.701e+00,222.3,1.533e+17,5.00e+00,6.20e+00,4.67e-02,3.17e-02,5.88e-01
37.50,3.230e+00,228.5,1.025e+17,5.00e+00,6.25e+00,3.44e-02,4.43e-02,5.24e-01
40.00,2.243e+00,234.7,6.927e+16,5.00e+00,5.90e+00,2.47e-02,6.47e-02,4.51e-01
42.50,1.570e+00,240.8,4.726e+16,5.00e+00,5.10e+00,1.63e-02,1.04e-01,3.71e-01
45.00,1.113e+00,247.0,3.266e+16,5.00e+00,4.10e+00,1.07e-02,1.51e-01,3.00e-01
47.50,7.900e-01,253.2,2.261e+16,5.00e+00,3.00e+00,7.06e-03,2.16e-01,2.45e-01
50.00,5.719e-01,259.3,1.599e+16,4.95e+00,2.60e+00,3.97e-03,3.14e-01,1.98e-01
55.00,2.990e-01,259.1,8.364e+15,4.85e+00,1.60e+00,2.51e-03,4.84e-01,1.59e-01
60.00,1.550e-01,250.9,4.478e+15,4.50e+00,9.50e-01,1.73e-03,7.15e-01,1.50e-01
65.00,7.900e-02,248.4,2.305e+15,4.00e+00,6.50e-01,1.26e-03,1.07e+00,1.50e-01
70.00,4.000e-02,245.4,1.181e+15,3.30e+00,5.00e-01,9.60e-04,1.52e+00,1.50e-01
75.00,2.000e-02,234.7,6.176e+14,2.70e+00,3.30e-01,7.55e-04,2.17e+00,1.50e-01
80.00,9.660e-03,223.9,3.127e+14,2.00e+00,1.30e-01,6.10e-04,3.06e+00,1.50e-01
85.00,4.500e-03,213.1,1.531e+14,1.33e+00,7.50e-01,5.02e-04,4.56e+00,1.50e-01
90.00,2.022e-03,202.3,7.244e+13,8.50e-01,8.00e-01,4.21e-04,6.88e+00,1.40e-01
95.00,9.070e-04,211.0,3.116e+13,5.40e-01,8.00e-01,3.58e-04,1.06e+01,1.30e-01
100.00,4.230e-04,218.5,1.403e+13,4.00e-01,4.00e-01,3.08e-04,1.71e+01,1.20e-01
105.00,2.070e-04,234.0,6.412e+12,3.40e-01,2.00e-01,2.68e-04,2.47e+01,1.10e-01
110.00,1.080e-04,252.6,3.099e+12,2.80e-01,5.00e-02,2.35e-04,3.36e+01,9.50e-02
115.00,6.000e-05,288.5,1.507e+12,2.40e-01,5.00e-03,2.08e-04,4.15e+01,6.00e-02
120.00,3.590e-05,333.0,7.814e+11,2.00e-01,5.00e-04,1.85e-04,5.00e+01,3.00e-02
